,title,addr,scene_in_the_work
0,R.O.D,東京都台東区蔵前2丁目春日通り,ねねねのマンション近くの橋/全話共通/厩橋
1,R.O.D,東京都台東区蔵前1丁目蔵前橋通り,マンションから追い出された三姉妹が渡った橋/2話/蔵前橋
2,R.O.D,東京都台東区隅田川,三姉妹がくすぶっていた場所/2話/隅田川緑道公園
3,R.O.D,東京都千代田区神田神保町2-3,読子御用達の秘密書店「トト・ブックス」/全話共通/神田古書センター
4,R.O.D,東京都千代田区神田神保町1丁目,読子がよく出没するストリート/全話共通/すずらん通り
5,R.O.D,東京都千代田区神田神保町1-1,本の入った紙袋の束をさげた読子が出てきたところ/全話共通/三省堂書店
6,R.O.D,東京都千代田区神田神保町1-3,悠久堂書店/全話共通
7,R.O.D,東京都千代田区神田神保町1-9,明倫館書店/全話共通
8,R.O.D -THE TV-,東京都台東区蔵前2丁目春日通り,ねねねのマンション近くの橋/全話共通/厩橋
9,R.O.D -THE TV-,東京都台東区蔵前1丁目蔵前橋通り,マンションから追い出された三姉妹が渡った橋/2話/蔵前橋
10,R.O.D -THE TV-,東京都台東区隅田川,三姉妹がくすぶっていた場所/2話/隅田川緑道公園
11,愛してナイト,大阪府寝屋川市香里南之町19,モデルとなった地域
12,アイドルマスター,東京都文京区後楽1−3−61,目標の地/全話共通/東京ドーム
13,アイドルマスター,東京都千代田区外神田1丁目14-7宝田ビル,秋葉原/全話共通/秋葉原ゲーマーズ前
14,アイドルマスター,東京都豊島区南池袋1−27−7,池袋/全話共通/池袋西武前
15,アイドルマスター,東京都世田谷区三軒茶屋2-33-18,"1話 卯月と凛が対話するシーンの現場,7話 凛と武内Ｐと未央が和解するシーンの現場/世田谷丸山公園"
16,アイドルマスター,東京都渋谷区神宮前1丁目,竹下通り：最初のお仕事現場/第一話/竹下通り
17,アイドルマスター,東京都渋谷区渋谷2丁目,渋谷駅前交差点：2個目のお仕事現場/第一話/竹下通り
18,アイドルマスター,岩手県宮古市日立浜町,浄土が浜
19,アイドルマスター,京都府京都市東山区清水1丁目294 ‎,京都/全話共通/清水寺
20,アイドルマスター,東京都新宿区新宿３丁目,新宿駅東口
21,アイドルマスター,東京都渋谷区恵比寿南1丁目,JR恵比寿駅
22,アイドルマスターシンデレラガールズ,東京都文京区後楽1−3−61,目標の地/全話共通/東京ドーム
23,アイドルマスターシンデレラガールズ,東京都千代田区外神田1丁目14-7宝田ビル,秋葉原/全話共通/秋葉原ゲーマーズ前
24,アイドルマスターシンデレラガールズ,東京都豊島区南池袋1−27−7,池袋/全話共通/池袋西武前
25,アイドルマスターシンデレラガールズ,東京都世田谷区三軒茶屋2-33-18,"1話 卯月と凛が対話するシーンの現場,7話 凛と武内Ｐと未央が和解するシーンの現場/世田谷丸山公園"
26,アイドルマスターシンデレラガールズ,東京都渋谷区神宮前1丁目,竹下通り：最初のお仕事現場/第一話/竹下通り
27,アイドルマスターシンデレラガールズ,東京都渋谷区渋谷2丁目,渋谷駅前交差点：2個目のお仕事現場/第一話/竹下通り
28,アイドルマスターシンデレラガールズ,神奈川県横浜市中区海岸通1丁目 ‎,横浜/全話共通/みなとみらい大さん橋
29,アイドルマスターシンデレラガールズ,埼玉県さいたま市中央区新都心8 ‎,埼玉/全話共通/さいたまスーパーアリーナ
30,アイドルマスターシンデレラガールズ,京都府京都市東山区清水1丁目294 ‎,京都/全話共通/清水寺
31,アイドルマスターシンデレラガールズ,東京都稲城市矢野口4015-1,スイーツロード/全話共通/オープンシアターEAST
32,アウトブレイク・カンパニー,東京都千代田区外神田1-15-4新ラジオ会館8F,慎一とミュセルのデートコースにあるアレな店
33,アウトブレイク・カンパニー,東京都千代田区神田平河町4-8-5三光白衣秋葉原ビル,慎一とミュセルのデートコースにある そば店
34,アウトブレイク・カンパニー,東京都中野区東中野,東中野駅
35,アウトブレイク・カンパニー,東京都千代田区外神田一丁目17番6号,秋葉原
36,青い花,神奈川県川崎市高津区久末20,松の湯/7話
37,青い花,福岡県福岡市博多区博多駅中央街1-1,博多駅/15話
38,青い花,神奈川県川崎市多摩区登戸2098,向ヶ丘遊園駅
39,青い花,神奈川県横浜市都筑区池辺町4035−1,ららぽーと横浜
40,青い花,東京都墨田区押上1−1−2,東京スカイツリー/7話
41,青い花,東京都台東区浅草2−3−1,雷門/7話
42,青い花,千葉県成田市古込1−1,北ウイング４F／展望デッキ(成田空港)/12話/成田空港
43,青い花,東京都中野区中野4−1−1,中野サンプラザ/14話
44,青い花,東京都新宿区新宿1丁目19−10サンモールクレスト,シアターサンモール/14話
45,青い花,神奈川県川崎市多摩区登戸,登戸駅/17話
46,蒼き鋼のアルペジオ,神奈川県横須賀市稲岡町82-19,記念艦三笠
47,あかずきんチャチャ,石川県金沢市東蚊爪町2丁目1,原作中に登場/石川県運転免許センター
48,あかずきんチャチャ,石川県金沢市新保本3-84,原作中に登場/スーパーどんたく
49,アキハバラ電脳組,東京都新宿区西新宿1丁目5−1,新宿/全話共通/新宿ルミネ
50,アキハバラ電脳組,東京都千代田区神田駿河台2丁目,御茶ノ水駅/全話共通/御茶ノ水駅
51,アキハバラ電脳組,東京都千代田区神田駿河台4-1-3,ニコライ堂/全話共通/ニコライ堂
52,アキハバラ電脳組,東京都千代田区外神田2−16−2,神田明神/全話共通/神田明神裏参道
53,アキハバラ電脳組,東京都千代田区外神田1丁目,アキハバラ駅/全話共通/秋葉原駅
54,アクセル・ワールド,東京都杉並区高円寺南3-1 青梅街道沿い,ルック商店街/全話共通
55,アクセル・ワールド,東京都杉並区高円寺南3-56-7,ネルケン/第三話investigation;探索に登場した喫茶店のモデル
56,アクセル・ワールド,東京都杉並区梅里2-11-17,清見寺　光雲閣斎場/第4話Declaration;告白の背景
57,惡の華,群馬県桐生市新宿3丁目13−6,韓国食堂トラヤ/12話
58,惡の華,群馬県桐生市浜松町1丁目11−14,指圧手もみーる/1話
59,惡の華,群馬県桐生市浜松町1丁目12−1,小林三司商店/1話
60,惡の華,群馬県桐生市浜松町2丁目10,藤田アパート/1話
61,惡の華,群馬県桐生市浜松町1丁目6−22,小池商店/1話
62,惡の華,群馬県桐生市稲荷町1−4,桐生市立図書館/2話
63,惡の華,群馬県桐生市菱町3丁目2038−1,小林工務店/3話
